Unnamed: 0,URL Link,Date,Source,Source Link,Title,Description,Text to Process,Preprocessed Text,Value,Sentiment
0,https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMva2FsaW5hYnJ5YW50LzIwMjMvMDUvMzEvaG93LWFpLXdpbGwtaW1wYWN0LXRoZS1uZXh0LWdlbmVyYXRpb24td29ya2ZvcmNlL9IBAA?oc=5,2023-05-31,Forbes,https://www.forbes.com,How AI Will Impact The Next Generation Workforce,Artificial intelligence (AI) has the potential to greatly impact accessibility and equity in the workforce by addressing various challenges and creating opportunities ...,How AI Will Impact The Next Generation Workforce Artificial intelligence (AI) has the potential to greatly impact accessibility and equity in the workforce by addressing various challenges and creating opportunities ...,ai impact next generation workforce artificial intelligence ai potential greatly impact accessibility equity workforce addressing various challenge creating opportunity,0.040000000000000015,positive
1,https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vd3d3LnRlbGVmb25pY2EuY29tL2VuL2NvbW11bmljYXRpb24tcm9vbS9ibG9nL3doYXQtdG8tc3R1ZHktZm9yLWEtam9iLWluLWFydGlmaWNpYWwtaW50ZWxsaWdlbmNlL9IBbWh0dHBzOi8vd3d3LnRlbGVmb25pY2EuY29tL2VuL2NvbW11bmljYXRpb24tcm9vbS9ibG9nL3doYXQtdG8tc3R1ZHktZm9yLWEtam9iLWluLWFydGlmaWNpYWwtaW50ZWxsaWdlbmNlL2FtcC8?oc=5,2023-05-29,Telefónica,https://www.telefonica.com,What to study for a job in artificial intelligence?,Artificial intelligence: it is the present full of job opportunities,What to study for a job in artificial intelligence? Artificial intelligence: it is the present full of job opportunities,study job artificial intelligence artificial intelligence present full job opportunity,-0.2125,negative
2,https://news.google.com/rss/articles/CBMicWh0dHBzOi8vYmxvZ3MubHNlLmFjLnVrL2J1c2luZXNzcmV2aWV3LzIwMjMvMDUvMzAvaG93LXRvLXByb3RlY3QtYXJ0aXN0cy1mcm9tLWdlbmVyYXRpdmUtYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2Uv0gEA?oc=5,2023-05-30,LSE Home,https://blogs.lse.ac.uk,How to protect artists from generative AI | LSE Business Review,There are ways to ensure the fair use of artworks by generative AI and to protect artists' livelihoods and people's privacy and personal data.,How to protect artists from generative AI | LSE Business Review There are ways to ensure the fair use of artworks by generative AI and to protect artists' livelihoods and people's privacy and personal data.,protect artist generative ai lse business review way ensure fair use artwork generative ai protect artist livelihood people privacy personal data,0.35,positive
3,https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vd3d3LnBvbGl0aWNvLmV1L2FydGljbGUvY29tbWlzc2lvbi1naXZlcy1zdGFmZi1ndWlkZWxpbmVzLW9uLWFpLXVzZS_SAQA?oc=5,2023-05-31,POLITICO Europe,https://www.politico.eu,European Commission tells staff: Don't use AI for 'critical' work,The EU executive establishes rules for staff when it comes to tools like ChatGPT.,European Commission tells staff: Don't use AI for 'critical' work The EU executive establishes rules for staff when it comes to tools like ChatGPT.,european commission tell staff use ai critical work eu executive establishes rule staff come tool like chatgpt,0.0,neutral
4,https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vZmFkbWFnYXppbmUuY29tLzIwMjMvMDUvMzAvamFrZS1lbHdlcy1kYXRhLWdsaXRjaC11dG9waWEtZGVteXN0aWZ5aW5nLWFydGlmaWNpYWwtaW50ZWxsaWdlbmNlL9IBAA?oc=5,2023-05-30,FAD magazine,https://fadmagazine.com,Jake Elwes Data • Glitch • Utopia,"In Data • Glitch • Utopia, Jake Elwes brings together a body of work that demystifies, opens up, and plays with Artificial Intelligence (AI).","Jake Elwes Data • Glitch • Utopia In Data • Glitch • Utopia, Jake Elwes brings together a body of work that demystifies, opens up, and plays with Artificial Intelligence (AI).",jake elwes data glitch utopia data glitch utopia jake elwes brings together body work demystifies open play artificial intelligence ai,-0.3,negative
5,https://news.google.com/rss/articles/CBMicmh0dHBzOi8vZW5nbGlzaC5lbHBhaXMuY29tL3NjaWVuY2UtdGVjaC8yMDIzLTA1LTMwL2hvdy1hcnRpZmljaWFsLWludGVsbGlnZW5jZS1pcy1jcmVlcGluZy1pbnRvLXdvcmstcm91dGluZXMuaHRtbNIBgQFodHRwczovL2VuZ2xpc2guZWxwYWlzLmNvbS9zY2llbmNlLXRlY2gvMjAyMy0wNS0zMC9ob3ctYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtaXMtY3JlZXBpbmctaW50by13b3JrLXJvdXRpbmVzLmh0bWw_b3V0cHV0VHlwZT1hbXA?oc=5,2023-05-30,EL PAÍS USA,https://english.elpais.com,How artificial intelligence is creeping into work routines,"Astrophysicists, doctors, teachers and creatives explain how they have incorporated AI tools into their day-to-day work ","How artificial intelligence is creeping into work routines Astrophysicists, doctors, teachers and creatives explain how they have incorporated AI tools into their day-to-day work ",artificial intelligence creeping work routine astrophysicist doctor teacher creatives explain incorporated ai tool daytoday work,-0.6,negative
6,https://news.google.com/rss/articles/CBMie2h0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvam9lbWNrZW5kcmljay8yMDIzLzA1LzMwL3ByZXBhcmUtZm9yLWFuLWV4cGFuZGVkLWpvYi1tYXJrZXQtdGhhbmtzLXRvLWFydGlmaWNpYWwtaW50ZWxsaWdlbmNlL9IBAA?oc=5,2023-05-30,Forbes,https://www.forbes.com,"Prepare For An Expanded Job Market, Thanks To Artificial Intelligence",Don't produce the same output as a generative AI tool. Differentiate yourself by adding value on top of the base output.,"Prepare For An Expanded Job Market, Thanks To Artificial Intelligence Don't produce the same output as a generative AI tool. Differentiate yourself by adding value on top of the base output.",prepare expanded job market thanks artificial intelligence produce output generative ai tool differentiate adding value top base output,-0.175,negative
7,https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vYWNjZXNzcGFydG5lcnNoaXAuY29tL3RoZS1lY29ub21pYy1pbXBhY3Qtb2YtZ2VuZXJhdGl2ZS1haS10aGUtZnV0dXJlLW9mLXdvcmstaW4tdGhlLXBoaWxpcHBpbmVzL9IBAA?oc=5,2023-05-31,Access Partnership,https://accesspartnership.com,The Economic Impact of Generative AI: The Future of Work in the Philippines,"Artificial Intelligence (AI) has been a rapidly growing field in the Philippines and is predicted to make a significant contribution to the Philippines Economy by 2030. In January 2023, President Marcos signed the Philippines Development Plan for 2023-2028 which aims to “bring back the country to a high-growth trajectory and, more importantly, enable economic and social transformation for a prosperous, inclusive, and resilient society” and underscores AI as one of the key technologies that will be instrumental in achieving this.","The Economic Impact of Generative AI: The Future of Work in the Philippines Artificial Intelligence (AI) has been a rapidly growing field in the Philippines and is predicted to make a significant contribution to the Philippines Economy by 2030. In January 2023, President Marcos signed the Philippines Development Plan for 2023-2028 which aims to “bring back the country to a high-growth trajectory and, more importantly, enable economic and social transformation for a prosperous, inclusive, and resilient society” and underscores AI as one of the key technologies that will be instrumental in achieving this.",economic impact generative ai future work philippine artificial intelligence ai rapidly growing field philippine predicted make significant contribution philippine economy january president marcos signed philippine development plan aim bring back country highgrowth trajectory importantly enable economic social transformation prosperous inclusive resilient society underscore ai one key technology instrumental achieving,0.06759259259259259,positive
8,https://news.google.com/rss/articles/CBMieGh0dHBzOi8vd3d3LmNvbXB1dGVyd29ybGQuY29tL2FydGljbGUvMTYyNzEwMS93aGF0LWFyZS1sYXJnZS1sYW5ndWFnZS1tb2RlbHMtYW5kLWhvdy1hcmUtdGhleS11c2VkLWluLWdlbmVyYXRpdmUtYWkuaHRtbNIBfWh0dHBzOi8vd3d3LmNvbXB1dGVyd29ybGQuY29tL2FydGljbGUvMTYyNzEwMS93aGF0LWFyZS1sYXJnZS1sYW5ndWFnZS1tb2RlbHMtYW5kLWhvdy1hcmUtdGhleS11c2VkLWluLWdlbmVyYXRpdmUtYWkuaHRtbC9hbXAv?oc=5,2023-05-30,Computerworld,https://www.computerworld.com,"What are LLMs, and how are they used in generative AI?",Large language models are the algorithmic basis for chatbots like OpenAI's ChatGPT and Google's Bard. The technology is tied back to billions — even trillions — of parameters that can make them both inaccurate and non-specific for vertical industry use. Here's what LLMs are and how they work.,"What are LLMs, and how are they used in generative AI? Large language models are the algorithmic basis for chatbots like OpenAI's ChatGPT and Google's Bard. The technology is tied back to billions — even trillions — of parameters that can make them both inaccurate and non-specific for vertical industry use. Here's what LLMs are and how they work.",llm used generative ai large language model algorithmic basis chatbots like openai chatgpt google bard technology tied back billion even trillion parameter make inaccurate nonspecific vertical industry use llm work,0.10714285714285714,positive
9,https://news.google.com/rss/articles/CBMiOmh0dHBzOi8vc3Byb3V0c29jaWFsLmNvbS9pbnNpZ2h0cy9haS1pbi1jb21tdW5pY2F0aW9ucy1wci_SAT5odHRwczovL3Nwcm91dHNvY2lhbC5jb20vaW5zaWdodHMvYWktaW4tY29tbXVuaWNhdGlvbnMtcHIvP2FtcA?oc=5,2023-05-31,Sprout Social,https://sproutsocial.com,How AI is changing communications and PR: Risks and benefits,"Learn how AI is changing the way communications and PR teams work, plus strategies for integrating AI tools into your workflow.","How AI is changing communications and PR: Risks and benefits Learn how AI is changing the way communications and PR teams work, plus strategies for integrating AI tools into your workflow.",ai changing communication pr risk benefit learn ai changing way communication pr team work plus strategy integrating ai tool workflow,0.0,neutral
